,time_of_tweet,user,tweet,user_id
0,2022-07-01 23:59:57+00:00,hanseungja1,RT @hernanlafalce: Which #altcoin you will never sell  in this bear market ? 🚀,1536307780730388487
1,2022-07-01 23:59:57+00:00,tavalez74,"RT @_Br41nf4r7_: What do you really know about #FireANTS 
$ANTS $rANTS $wANTS 
You don't want to miss out on that, do you?
Check out https:…",1438877328231354368
2,2022-07-01 23:59:34+00:00,godstime20,"RT @_Br41nf4r7_: What do you really know about #FireANTS 
$ANTS $rANTS $wANTS 
You don't want to miss out on that, do you?
Check out https:…",300307298
3,2022-07-01 23:57:29+00:00,HumphreyMacaul6,"RT @Taha86613152: @rovercrc Don’t missed #SHINJA 🥷🏿🔥
Buy Now and Happy later 🥷🏿🔥

#Shibnobi #Crypto #DeFi #BTC #SHIB #Ceek #AVAX #BNB
#Ethe…",1532124686410100736
4,2022-07-01 23:57:27+00:00,ShanerPhoto,#altseason #RHOP #SIHBAINUTOKEN #coinbase #binaryoptions #flokimusk #1centdream #gems #SAITAMA #cex #goku #kirby… https://t.co/hRsQSlrjhG,1651285824
5,2022-07-01 23:57:25+00:00,droptown_io,"*THIS* Is Why Bitcoin, Ethereum, Solana, &amp; Crypto Is CRASHING! (Altcoins I Am Buying) - 

https://t.co/6iM5awLqzH… https://t.co/R3vvMoB2cP",1376954378595180550
6,2022-07-01 23:57:10+00:00,albatross8520,"RT @MonstersCoins: What #Gem are you buying more in this dip?🧐
#100xGems #BNB #Altcoin

👇👇👇",1424680691015376903
7,2022-07-01 23:56:57+00:00,ShanerPhoto,#altseason #RHOP #SIHBAINUTOKEN #coinbase #binaryoptions #flokimusk #1centdream #gems #SAITAMA #cex #goku #kirby… https://t.co/9yI5EecqmV,1651285824
8,2022-07-01 23:56:43+00:00,albatross8520,"RT @AltGemHunter: Which #altcoin would you buy now if you could spend $10,000!? 🤔🤑",1424680691015376903
9,2022-07-01 23:56:25+00:00,albatross8520,RT @Laura__crypto: Which #altcoin are you most excited for this week?,1424680691015376903
10,2022-07-01 23:56:25+00:00,Brianna01999,"RT @SeniorCryptos: What do you buy today? 🕵🏻‍♀️👀

#BSC  #BSCGems #100xgem #BNB  #cryptocurrencies #BTC #ETH #SOL  #DeFi #NFT #Metaverse   #…",1542847157887188993
11,2022-07-01 23:56:06+00:00,albatross8520,"RT @SHILLBILLGEMS: Shill me your 1000x gems! 👀💎

#BSCGemsAlert #altcoin #altcoins  #BSCGems #1000Xgems #BSC #BNB #memecoins",1424680691015376903
12,2022-07-01 23:55:43+00:00,aircashnb,"RT @SharksCoins: Which #Altcoin will make 500x in 2022?💥🚀🌒

#VOLT
#BABYDOGE
#LOCUSchain
#FLOKI
#MarvinInu
#ENQgame
#BlueSparrow
#AirCoin
#K…",1471799672469483522
13,2022-07-01 23:55:09+00:00,albatross8520,"RT @MonstersCoins: Shill me the next 100x gem! 💎👀

#altcoin #memecoin #NFTs #GameFi #metaverse",1424680691015376903
14,2022-07-01 23:55:08+00:00,Ballaga3,"RT @SeniorCryptos: What do you buy today? 🕵🏻‍♀️👀

#BSC  #BSCGems #100xgem #BNB  #cryptocurrencies #BTC #ETH #SOL  #DeFi #NFT #Metaverse   #…",1542468068143661059
15,2022-07-01 23:55:00+00:00,albatross8520,"RT @Crypto__emily: I am going to put $10,000 into your favorite #Altcoin

Just shill me your Favorite project which is undervalued
👇🏻👇🏻👇🏻",1424680691015376903
16,2022-07-01 23:54:51+00:00,aircashnb,"RT @SharksCoins: Shill me your next 100x #altcoin! 💎

I'm buying 💳",1471799672469483522
17,2022-07-01 23:54:33+00:00,AdomiakJeff,RT @Altcoinbird: good morning #crypto Twitter shill me your favorite altcoin #altcoin #nft,1457366791253069830
18,2022-07-01 23:54:05+00:00,win_yeoreum,RT @MarlaPerreone: Which #altcoin will explode this week?,1498699102494019587
19,2022-07-01 23:53:55+00:00,albatross8520,RT @MarlaPerreone: Which #altcoin will explode this week?,1424680691015376903
20,2022-07-01 23:53:25+00:00,albatross8520,"RT @IMMA98322275: Which #altcoin will do 100x next month? 📈💎

Shill me ⬇️⬇️",1424680691015376903
21,2022-07-01 23:53:04+00:00,Cryptoinsight14,@altcryptocom The #altcoin I choose to be bullish on ever since the bearish started due to its trend and the potent… https://t.co/EaH44Wn1NP,1403289208651923456
22,2022-07-01 23:52:09+00:00,GeldmanNathan,"RT @BrickkenSTO: It's finally time! We will be announcing a major milestone for the entire Brickken Ecosystem on Monday.

Hint: The blockch…",1085872985452494848
23,2022-07-01 23:51:55+00:00,masihbelomwins,"RT @Masked_Saurid: What will I buy next? 

#NFTProject #Bscgem #BSC #altcoin #memecoin #token #NFTs",1535252303934275584
24,2022-07-01 23:51:47+00:00,albatross8520,RT @MrBigWhaleCEO: Shill me your next 1000x #AltCoin!,1424680691015376903
25,2022-07-01 23:51:19+00:00,aircashnb,"RT @MrBigWhaleREAL: Which #Altcoin will make 500x in 2022?💥🚀🌒

#VOLT
#BABYDOGE
#LOCUSchain
#FLOKI
#MarvinInu
#ENQgame
#BlueSparrow
#AirCoin…",1471799672469483522
26,2022-07-01 23:51:17+00:00,albatross8520,"RT @SharksCoins: Shill me your next 100x #altcoin! 💎

I'm buying 💳",1424680691015376903
27,2022-07-01 23:51:00+00:00,CnNigo,"RT @MonstersCoins: Who has the most POWERFUL community in #memecoins 

1. #Kiba
2. #BABYDOGE
3. #KISHU
4. #PlugPro
5. #RichQUACK
6. #FLOKI…",1523125310598053890
28,2022-07-01 23:50:08+00:00,albatross8520,RT @SharksCoins: Shill me your #altcoin ready to moon🚀,1424680691015376903
29,2022-07-01 23:50:04+00:00,cryptocoinboom,CRYPTO NEWS:  #India to roll out #CBDC using a graded approach: RBI Annual Report https://t.co/XWwWeDOQ6o #altcoin… https://t.co/0cUtIL3Lnd,1353712118684639240
30,2022-07-01 23:50:00+00:00,SeniorCryptos,"What do you buy today? 🕵🏻‍♀️👀

#BSC  #BSCGems #100xgem #BNB  #cryptocurrencies #BTC #ETH #SOL  #DeFi #NFT… https://t.co/LdFrLpIP9I",68024674
31,2022-07-01 23:49:50+00:00,albatross8520,"RT @MonstersCoins: What are your favorite #memecoins right now??
#Altcoin #BNB #BSCGems

👇👇",1424680691015376903
32,2022-07-01 23:49:41+00:00,aircashnb,"RT @cryptojack: Which #altcoin is trending today?

👇🏻👇🏻👇🏻",1471799672469483522
33,2022-07-01 23:49:39+00:00,RiseArmyLatino,RT @BDFischer: #EverRise $RISE #EverRevoke #EverRiseV3 #EverRiseEDU #DeFi #Crypto #Cryptocurrency #Polygon #EverSwap #NFTArt #Altcoin #Rise…,1405430725176926210
34,2022-07-01 23:48:56+00:00,albatross8520,"RT @MonstersCoins: Who has the most POWERFUL community in #memecoins 

1. #Kiba
2. #BABYDOGE
3. #KISHU
4. #PlugPro
5. #RichQUACK
6. #FLOKI…",1424680691015376903
35,2022-07-01 23:48:25+00:00,coinpricenow,"1 Bitcoin ( #BTC )
Dollar: 19,409.03$ 

1 Bitcoin Cash ( #BCH )
Dollar: 1,02.44$ 

1 Ethereum ( #ETH )
Dollar: 1,07… https://t.co/DJFnHrNOeh",2787862885
36,2022-07-01 23:48:19+00:00,KimSorg9,RT @MarlaPerreone: Which #altcoin will explode this week?,1326677101353836545
