,time_of_tweet,user,tweet,user_id
0,2022-07-01 23:59:15+00:00,LIVINGTheNewSt1,"Technical point, #Rose. I haven't finished reading this blog post, or the comments, but I did do a #google search o… https://t.co/utxuSwjKCu",1253132880684990467
1,2022-07-01 23:58:03+00:00,NicoConlin,Chrome/Youtube is so busted. Usually I can have dozens upon dozens of tabs/videos running at once on this comp with… https://t.co/R9GAzZRkaF,1416894920
2,2022-07-01 23:52:37+00:00,mrboult,RT @SaltSecurity: The entire industry benefits when a major player shines a light on a critical capability but bots &amp; misconfigured APIs do…,3385946008
3,2022-07-01 23:51:02+00:00,VikingIrishGod,"@Google @madebygoogle @googlemaps #Google #maps 
... I am direction 🥊🥊 🆙 https://t.co/zZAiK7OIsu",1082202837407416321
4,2022-07-01 23:50:39+00:00,imlikhita,RT @timesofindia: 15 ‘dangerous’ India-linked domains banned by #Google for spying on users https://t.co/DJRJC9fPJG via @gadgetsnow,307446352
5,2022-07-01 23:50:15+00:00,brents47,Chrome just got a big upgrade to make your life easier #Google #passwords #mobile  https://t.co/mFYW5g8CUc,837063992
6,2022-07-01 23:50:00+00:00,adria63,"@ReutersLegal 👏👏👏 
It only goes to show they have the power to steer false information. I was gonna say misleading… https://t.co/1oAe0TRpze",25787136
7,2022-07-01 23:45:56+00:00,Hayess5178,If you search #GOOGLE in to #GOOGLE it breaks the #internet 😳,137141050
8,2022-07-01 23:41:44+00:00,Asitseemstome,"Behold London’s ‘landscraper’! Google’s new UK HQ – as long as the Shard is tall
#Google https://t.co/kmajmrBoOU",280915557
9,2022-07-01 23:41:20+00:00,CodeWithTwitchi,"RT @davidrhenson: Pros and Cons of Viddyoze

https://t.co/MgRpGaRjlT

#software #technology #tech #london #programming #business #coding #a…",1398866593237508100
10,2022-07-01 23:40:32+00:00,coronainfotour,"RT @YourAnonRiots: 🛡️ #Google has blocked several websites used by hack-for-hire groups in UAE, India, and Russia offering their services t…",1309869513886892033
11,2022-07-01 23:40:31+00:00,BillyGBedard,"RT @TheScoopPod: ""Somebody has to make that leap...""

@Aeyakovenko of @Solana joins @fintechfrank to discuss the new Solana phone dubbed 'S…",1488595858622922758
12,2022-07-01 23:38:50+00:00,anonToby,"RT @YourAnonRiots: 🛡️ #Google has blocked several websites used by hack-for-hire groups in UAE, India, and Russia offering their services t…",1127636110933360642
13,2022-07-01 23:38:09+00:00,GanarInvirtiend,"Mes Junio 2022:

Meta (FB): -16,73%
Apple (AAPL): -8,14%
Amazon (AMZN): -11,65%
Netflix (NFLX): -11,43%
Google (GOO… https://t.co/36DixI3nue",1499541636904325123
14,2022-07-01 23:37:04+00:00,timespacealien,"Hey @tesla

I don’t want lit up door logos, I want a glowing T in Front.  Like the old Apple computers.

#tesla… https://t.co/SHQqw8eoLt",1178355613237202956
15,2022-07-01 23:35:41+00:00,ioloj,When you upload your content to #YouTube or #Spotify do you know what % they’re making ? When you show a #Google ad… https://t.co/vTePSuavo2,17080575
16,2022-07-01 23:34:04+00:00,rebeccawangart,RT @PhotosbyEddie: Check out this new digital art that I uploaded to https://t.co/xgcRUS04gV! https://t.co/uINSEWHrb5 #Ballerina #Red #Wall…,712757911991156737
17,2022-07-01 23:33:04+00:00,x9S6zg1agm0QSET,@10pillar @emilykschrader @Scripteladora @Google The world is antisemetic when it doesn't fit the Israeli narrative… https://t.co/Ie8l10fRP4,1391849076396859396
18,2022-07-01 23:33:01+00:00,kachofugetsujp,"RT @davidrhenson: Pros and Cons of Viddyoze

https://t.co/MgRpGaRjlT

#software #technology #tech #london #programming #business #coding #a…",4196274805
19,2022-07-01 23:31:20+00:00,ennomnom,RT @paa_kwesi__: Go Trip is an app where users can get information on their favorite holiday destinations and also book hotels and events.…,4196005276
20,2022-07-01 23:30:33+00:00,wildweatherdan,I did too. What is the deal #Google?? https://t.co/ZbhTfgxjVk,19435213
21,2022-07-01 23:30:27+00:00,webseoanalytics,Hacking with Google Search: https://t.co/O175nadijf #seo #google #search #hacking #hacks #web,1002321190315331584
22,2022-07-01 23:30:00+00:00,Glob1Consulting,"We get top results in keyword rankings on SERPs, offer high-quality content, and learn off-page SEO cleverly using… https://t.co/epEGFFoeKZ",2967396986
23,2022-07-01 23:30:00+00:00,TheByteBird,"CCI approves Google’s proposed stake buy in Bharti Airtel.
#Google #airtel #news
https://t.co/XqJhLWxIo7",1509916382796062721
24,2022-07-01 23:27:55+00:00,timespacealien,"New product.

Spray paint your business stuff with plastic stencil.

Limited fonts, Adobe .svg not accepted for Cat… https://t.co/LnJqCupSFP",1178355613237202956
25,2022-07-01 23:26:41+00:00,whalefantom,"RT @TheScoopPod: ""Somebody has to make that leap...""

@Aeyakovenko of @Solana joins @fintechfrank to discuss the new Solana phone dubbed 'S…",1371446214814806016
26,2022-07-01 23:26:20+00:00,inside,"Top 5 Stories:

#Mojo's Smart Contacts: https://t.co/1KVDgGv3oj
#Apple &amp; #Google asked to axe #TikTok:… https://t.co/5FK3zcBsnd",4466581
27,2022-07-01 23:25:39+00:00,Badalku91616822,"RT @LunarStrategy: When you are out to catch new customers you need to do it with plenty of patience, care, and a good strategy that will b…",1216038988705779712
28,2022-07-01 23:25:34+00:00,Badalku91616822,"RT @LunarStrategy: Using digital media on your website will
increase the chances of users staying longer on it
#LunarStrategy #saasmarketin…",1216038988705779712
29,2022-07-01 23:25:02+00:00,Tian_A1,"BrainKids Educative Game Now available #Apple App Store #Google Play Jeu Video Kids 4+,Learn alphabet,numbers,word… https://t.co/D2k7qTWK9m",4838520568
30,2022-07-01 23:23:27+00:00,jolilore,"""Google will start auto-deleting abortion clinic visits from user location history along with visits to other poten… https://t.co/auzHNhr0B4",18489494
31,2022-07-01 23:22:22+00:00,Badalku91616822,RT @LunarStrategy: Not too short and not too long titles - the sweet spot is at 6-13 words for clickable titles that will rank you higher.…,1216038988705779712
32,2022-07-01 23:19:14+00:00,musicphantom69,"RT @safferguru: Meanwhile in South Africa...
#Google #Web3
https://t.co/ipWNiroQXV",1530556180866732035
33,2022-07-01 23:19:00+00:00,cynthia_conte,"RT @BestWomensBSP: AUDIO PODCAST WITH @ANTONIOTARVER AVAILABLE NOW!!!

#BWBSP #Boxing #BoxingNews #ProboxTV #FightStars #AntonioTarver #App…",234832996
34,2022-07-01 23:18:07+00:00,boyZoutfitZ,@desmond_amazing @bn_colorado @bn_classwork Dear Desmond you're such an #inspiration for many #boys / kids in… https://t.co/YzxjSiLVHJ,1496339698083672065
35,2022-07-01 23:17:32+00:00,Kobby_56,RT @paa_kwesi__: Go Trip is an app where users can get information on their favorite holiday destinations and also book hotels and events.…,740576532129808384
36,2022-07-01 23:17:27+00:00,Badalku91616822,"RT @LunarStrategy: Another workweek is coming to its end and
we at Lunar Strategy are happy to have reached some
milestones with our SaaS c…",1216038988705779712
37,2022-07-01 23:17:05+00:00,entrepreneur_cm,Google will start erasing location data for abortion clinic visits https://t.co/oRkvBdkxng #Social #TC #Google #privacy,31471175
38,2022-07-01 23:17:04+00:00,datapronetwork,Google will start erasing location data for abortion clinic visits https://t.co/e28503SkKQ #Social #TC #Google https://t.co/eYAzH01GfE,705146173955264512
39,2022-07-01 23:16:20+00:00,Badalku91616822,"RT @LunarStrategy: The power of display adverts through
Google Ads allows you to reach 80% (!) of all internet
users in the world! Talk to…",1216038988705779712
40,2022-07-01 23:15:00+00:00,Video_Forensics,#Police sweep #Google searches to find suspects. The tactic is facing its first #legal challenge.… https://t.co/KWW36cvdz5,1132795518
