,time_of_tweet,user,tweet,user_id
0,2022-07-01 23:08:11+00:00,majonwuatuegwu,"RT @OmoBalogunn: Ona  king down ...he say him no won be king again 🤣🤣🤣🤣
#shola #Yahoo #ASUU https://t.co/50Y9tLB98R",275810878
1,2022-07-01 23:04:56+00:00,doyourememberwh,1991 Bells &amp; Horns Arthur Court Green Marble Cutting Board https://t.co/ICxSAQBqDy #doyourememberwhen #Etsy #Yahoo https://t.co/Ta5fzKct1p,203070054
2,2022-07-01 22:56:32+00:00,VictorUgooNjoku,"RT @ebukadgod: They say @Yahooplus_Movie is THE BEST NOLLYWOOD FILM IN THE CINEMA RIGHT NOW!!!

What are you waiting for? Gather your frien…",1651977379
3,2022-07-01 22:25:03+00:00,TheGlobalHerald,Biden says he backs filibuster changes to codify #Abortion rights - https://t.co/CbPsiiMeiZ - #Yahoo,96718576
4,2022-07-01 22:06:05+00:00,Nzekell,"RT @ebukadgod: They say @Yahooplus_Movie is THE BEST NOLLYWOOD FILM IN THE CINEMA RIGHT NOW!!!

What are you waiting for? Gather your frien…",3307373758
5,2022-07-01 21:44:15+00:00,ebukadgod,"They say @Yahooplus_Movie is THE BEST NOLLYWOOD FILM IN THE CINEMA RIGHT NOW!!!

What are you waiting for? Gather y… https://t.co/MvaaqFfb6e",808111358004854784
6,2022-07-01 21:42:20+00:00,ToyinSurakat,"RT @GOODBOYMSEEN: Motivational speaker:fight for what you love 
Another motivational speaker:if it’s yours ,you don’t need to fight 
Me:I’m…",1244277342912090112
7,2022-07-01 21:38:35+00:00,The_Real_Grande,"RT @DFSAlarm: Tonight's #MLB #DFS Core Plays are UP! @The_Real_Grande brings you his top players to build your lineups around on #Fanduel,…",1108253084
8,2022-07-01 21:36:47+00:00,DFSAlarm,Tonight's #MLB #DFS Core Plays are UP! @The_Real_Grande brings you his top players to build your lineups around on… https://t.co/5o98NvAwsX,1337113042706857984
9,2022-07-01 21:32:06+00:00,strongbro2374,RT @noye24: #Yahoo #efcc now were efcc don bring new law to be landlord go come tire some landlord 😭,1542983057405362176
10,2022-07-01 20:42:53+00:00,i_am_canny,"RT @AlhajiEmzo27: Never Forget, this happened in Jos during the pandemic, #Efcc did not jail any of the #Yahoo politicians, no one was even…",1536573182915788800
11,2022-07-01 20:37:39+00:00,Stefan90330374,RT @MetaZilliqa: 75% voted bullish on Yahoo Finance! #Zilliqa $ZIL #yahoo #altcoin #cryptocurrency https://t.co/Wh5xZw5nVS,1341127415783956481
12,2022-07-01 20:36:42+00:00,FantasyAlarm,"RT @DFSAlarm: Tonight's #MLB #DFS Playbook is LIVE! @The_Real_Grande breaks down his top plays for main slate action on #DraftKings, #FanDu…",58559901
13,2022-07-01 20:34:51+00:00,opensource_orgs,RT @sebastianspier: I had almost forgotten how much time I spent with YQL and specifically yql-tables in ~2010-13. While that tech reached…,1348558873636921349
14,2022-07-01 20:34:46+00:00,sebastianspier,I had almost forgotten how much time I spent with YQL and specifically yql-tables in ~2010-13. While that tech reac… https://t.co/qIBHpqHuK4,96320763
