,time_of_tweet,user,tweet,user_id
0,2022-07-01 23:59:51+00:00,BigguyStore,Are you looking for a new accessory for your phone? We have 9D Protective Glass For Samsung Galaxy Series for you!… https://t.co/RLJlcfAoX4,1283164155243986944
1,2022-07-01 23:59:01+00:00,marce_170018,"RT @AdamJMatlock: Me trying to relax…

#apple #AppleWatch #LeaveMeAlone https://t.co/Zkt0pn7aqY",1314681725134438402
2,2022-07-01 23:58:02+00:00,theloganstark,"RT @appleinsider: Late #Apple co-founder #SteveJobs will be posthumously awarded the President Medal of Freedom, the highest civilian honor…",1087546006902779904
3,2022-07-01 23:56:52+00:00,WesWookBeats,Who do I need to call at @Ableton &amp; #Apple to get Live running on an M1 iPad with Push 2 functionality?  ☎️,47697132
4,2022-07-01 23:56:35+00:00,NYMetsChief,15 minutes on Lindor’s hair everyone!  #lgm @AppleTVPlus #Apple,835526448173756416
5,2022-07-01 23:55:03+00:00,MoGalore,"🐉""This was the first dragon story I've ever read and I'm hooked!""🐉

Dragonslayer, Dragon Heart by Isobelle Cate
eBo… https://t.co/N6DyfT8sLF",500459662
6,2022-07-01 23:49:05+00:00,ryane_hill,Why is there STILL no lucha mask emoji? #WrestlingTwitter #apple https://t.co/IIQhOHbuna,761254132074237952
7,2022-07-01 23:48:45+00:00,Thesupa1,"RT @AdamJMatlock: Me trying to relax…

#apple #AppleWatch #LeaveMeAlone https://t.co/Zkt0pn7aqY",182120210
8,2022-07-01 23:44:28+00:00,PS5only,2024 iPad Models After ‘Pro’ Series to Feature OLED Panels Mass Produced by Samsung https://t.co/zLR8PlZT1v #Apple https://t.co/9eWvAXjPdA,2188714462
9,2022-07-01 23:44:12+00:00,Cryptoolaney,"RT @novalaney: #Netflix is down 70% YTD
#Facebook is down 51% YTD
#Amazon is down 37% YTD
#Apple is down 24% YTD
#Bitcoin  is down 58% YTD…",1204709375216115712
10,2022-07-01 23:41:20+00:00,CodeWithTwitchi,"RT @davidrhenson: Pros and Cons of Viddyoze

https://t.co/MgRpGaRjlT

#software #technology #tech #london #programming #business #coding #a…",1398866593237508100
11,2022-07-01 23:41:11+00:00,edjlazar,"RT @Suzy_Henderson: The Beauty Shop: A Gripping #WW2 Novel Inspired by a True Story.

War brought them together but will it tear them apart…",4761135846
12,2022-07-01 23:40:31+00:00,BillyGBedard,"RT @TheScoopPod: ""Somebody has to make that leap...""

@Aeyakovenko of @Solana joins @fintechfrank to discuss the new Solana phone dubbed 'S…",1488595858622922758
13,2022-07-01 23:39:17+00:00,TheMedicineWolf,"RT @AdamJMatlock: Me trying to relax…

#apple #AppleWatch #LeaveMeAlone https://t.co/Zkt0pn7aqY",2343966982
14,2022-07-01 23:38:09+00:00,GanarInvirtiend,"Mes Junio 2022:

Meta (FB): -16,73%
Apple (AAPL): -8,14%
Amazon (AMZN): -11,65%
Netflix (NFLX): -11,43%
Google (GOO… https://t.co/36DixI3nue",1499541636904325123
15,2022-07-01 23:35:44+00:00,Reaperducer,"So far, ""About a minute"" means two hours. @apple #apple #macos #monterrey https://t.co/UYkZLHRp49",150641998
16,2022-07-01 23:35:01+00:00,iTricks_org,Apple promotes AW Series 7 screen durability in new Ad. No hint about poor scratch resistance!… https://t.co/OFnh4OOBMB,2291098722
17,2022-07-01 23:33:01+00:00,kachofugetsujp,"RT @davidrhenson: Pros and Cons of Viddyoze

https://t.co/MgRpGaRjlT

#software #technology #tech #london #programming #business #coding #a…",4196274805
18,2022-07-01 23:32:46+00:00,dghowery,"Steve Jobs to be Awarded Presidential Medal of Freedom by White House | iPhone in Canada Blog
#stevejobs @apple… https://t.co/0ifpVZlGRA",60084824
19,2022-07-01 23:30:50+00:00,TheDarkFox66,"RT @zorryn_art: Caught a 🦊 in a 📱 ! =D

#apple #ipad #animation #tracking #c4d #cinema4d #redshift3d #cgi #twitterart #illusion #art #vixen…",1309770774123876354
20,2022-07-01 23:30:48+00:00,BluHrvstDigital,"From FoolComAu "" Here???s how June treated the NDQ ETF "" published 2/7/2022 $ETF $NDQ #Microsoft #Inflation #Apple 
https://t.co/CXSBERZ29s",937004122456276992
21,2022-07-01 23:30:00+00:00,ZurApps,"ZurApps Research is a mobile app development company focusing on iOS and Mac application development of creative, u… https://t.co/OzBdiKpQEC",336073671
22,2022-07-01 23:29:55+00:00,Kreepz81,"The Saddest Story Ever.

https://t.co/AJrgk20f4k

#Drawing #Art #DigitalArtwork #DigitalDrawing #Animatic #Apple https://t.co/RVGD6QRFwC",1531705152511496192
23,2022-07-01 23:28:53+00:00,john_bingman,"@MetsAvenue You get news faster then we  do like by almost a minute, geez, thank you #Apple and #MLB",863206693
24,2022-07-01 23:28:41+00:00,MobileZonShop,K17 K16 Smart Watch Wireless USB Magnetic Charger Cable | Price: 449 | All INDIA FREE Shipping | Verified Online St… https://t.co/p7iNIzKSss,2938866560
25,2022-07-01 23:27:44+00:00,NewcastleMobile,"iPhone X and iPhone XS lcd replacement

Apple iPhone XS and iPhone XR Screen Replacement available at Best Prices.… https://t.co/72EtNVqF7Z",734582067392958464
26,2022-07-01 23:26:41+00:00,praduhkim,"RT @AdamJMatlock: Me trying to relax…

#apple #AppleWatch #LeaveMeAlone https://t.co/Zkt0pn7aqY",1269834525124722689
