,time_of_tweet,user,tweet,user_id
0,2022-07-01 23:59:58+00:00,TheEnder0317,RT @BTCGandalf: Plebs when they look at the #Bitcoin price during a bear market. https://t.co/j6zFf3MzTh,1457345789018181632
1,2022-07-01 23:59:58+00:00,LivePriceCrypto,"#Bitcoin Last Price $19257 #BTC 🚀
Daily Indicators:
•Variation since 00h00(UTC): -3.41%
•MACD:
 -MACD Line: -2072… https://t.co/o3qAZ439LO",1501922448324927500
2,2022-07-01 23:59:58+00:00,crypto_w1ens,"RT @BTCismydrug: To Celebrate Reaching 1k Followers,
Giving Away 100$#BNB to one Lucky Follower 🔥🤑

To Participate:

✅Follow @BTCismydrug…",1534846051236331520
3,2022-07-01 23:59:56+00:00,spikes2021,RT @TheCryptoLark: Many of the world's richest and most famous investors made their fortunes in bear markets! #bitcoin #crypto,1383027435374010368
4,2022-07-01 23:59:55+00:00,Wilfred48783293,"RT @BitcoinMagazine: ""Thank you for selling cheap."" – El Salvador President on 80 #bitcoin purchase 🇸🇻 https://t.co/5jx7bhQ8jK",1145182549192380417
5,2022-07-01 23:59:54+00:00,CryptoBrave2022,"RT @DocumentingBTC: How saving works:

                                  your money
 everything  =        —————— 
      else…",1495201395259199488
6,2022-07-01 23:59:53+00:00,chrisdcripto,"Mood Tesla, mood #Bitcoin #tesla 🔥 https://t.co/1wYN2wnk2d",1359914592906993665
7,2022-07-01 23:59:52+00:00,CrytpoCLNT,"RT @saylor: My recent discussion with @MMCrypto on the state of the industry, #Bitcoin growth drivers &amp; models, benefits of proper regulati…",1537846691805679616
8,2022-07-01 23:59:50+00:00,Angelie094,"RT @SocialGood_Inc: ✨Win $100 in $BTC✨
Follow &amp; RT this for a chance to win $100 worth of #Bitcoin 💰We'll tag the 35th #Giveaway winner on…",1512224566953021443
9,2022-07-01 23:59:49+00:00,straight2crypto,"RT @LPNational: If you want to #EndTheFed and the inflation crisis as much as us, you don't want to miss this. #Bitcoin https://t.co/2xBA18…",248784511
10,2022-07-01 23:59:49+00:00,agusCSG0,"RT @OfficialTravlad: If #Bitcoin  hits $18,000 in the next 24hrs, I will send $1,000 to someone that has retweeted and is following! 

Let’…",1267323520977178625
11,2022-07-01 23:59:47+00:00,AnonymousWH618,"#ICP  #Bitcoin 

Look! into these 2things, something special.",1028849706820984832
12,2022-07-01 23:59:43+00:00,JoshuaMcKenzie_,"RT @rovercrc: #Bitcoin has not reached $50,000, so I will do my $2,500 giveaway like promised! 

How to join:
- Like &amp; RT
- Follow @rovercr…",1170403238157389825
13,2022-07-01 23:59:42+00:00,0xY2K,"The American Dream is dead. it has been dead. 

#Bitcoin Fixes this",1353102387465117696
14,2022-07-01 23:59:41+00:00,Atg6121,RT @CryptoSavingExp: #Bitcoin has posted its largest quarterly loss (56.2%) in 11 years 😬,1342002696878845954
15,2022-07-01 23:59:41+00:00,Eko19285513,RT @Man_Bear_Pleb: A great toss n catch by @nayibbukele and @LordFusitua #bitcoin https://t.co/c6ocwS8cAi,1358098790364962821
16,2022-07-01 23:59:40+00:00,XLBr92,"RT @Layanan20: Bitcoin 1-day activity: 
Market cap: IDR 5492.2T -0.07%
Market volume: IDR 958.4T +45.39%
Price: IDR 287.82M -0.11%
https://…",2633428995
