,time_of_tweet,user,tweet,user_id
0,2022-07-01 23:04:01+00:00,Rohekbenitez20,"RT @ShapeShift: In this recently published #CoinDesk article, @twells_eth dives into the life of a #bountyhunter 🦊

We appreciate all of ou…",1135219075548876801
1,2022-07-01 22:00:03+00:00,BTCticker,One Bitcoin now worth $19368.859. Market Cap $369.608 Billion. Based on #coindesk BPI #bitcoin,1323280062
2,2022-07-01 20:55:54+00:00,1NationUnderXRP,Don’t forget the companies who own #coindesk -,1453880435562348544
3,2022-07-01 20:14:16+00:00,x3tko,The Crypto CEO Who Doesn't Want the Job #coindesk #bitcoin #crypto https://t.co/VnGIyeIbGS,340070780
4,2022-07-01 20:00:03+00:00,BTCticker,One Bitcoin now worth $19359.059. Market Cap $369.419 Billion. Based on #coindesk BPI #bitcoin,1323280062
5,2022-07-01 18:43:03+00:00,xXCheatedXx,RT @IneryBlockchain: 📹 Check out the highlight from the #Coindesk Video on our CEO @inery_naveen speaking about the dynamics of owner-contr…,1630069626
6,2022-07-01 18:00:03+00:00,BTCticker,One Bitcoin now worth $19462.531. Market Cap $371.393 Billion. Based on #coindesk BPI #bitcoin,1323280062
7,2022-07-01 17:42:22+00:00,AerialE19,"RT @IneryBlockchain: 📹 Check out our newest highlight from the #Coindesk interview with our CEO @inery_naveen, talking about what exactly t…",1321357676
8,2022-07-01 17:00:13+00:00,twells_eth,"RT @ShapeShift: In this recently published #CoinDesk article, @twells_eth dives into the life of a #bountyhunter 🦊

We appreciate all of ou…",1308458691595767808
9,2022-07-01 16:31:21+00:00,BooksBitcoin,RT @x3tko: Crypto World Is Cautious of Finer Details In EU's MiCA Law #coindesk #bitcoin #crypto https://t.co/1V5S35cQM5,1211077633204613121
10,2022-07-01 16:23:02+00:00,HadiM2021,"RT @IneryBlockchain: 📹 Check out our newest highlight from the #Coindesk interview with our CEO @inery_naveen, talking about what exactly t…",1237486084717756417
11,2022-07-01 16:08:24+00:00,x3tko,Crypto World Is Cautious of Finer Details In EU's MiCA Law #coindesk #bitcoin #crypto https://t.co/1V5S35cQM5,340070780
12,2022-07-01 16:00:03+00:00,BTCticker,One Bitcoin now worth $19222.905. Market Cap $366.819 Billion. Based on #coindesk BPI #bitcoin,1323280062
13,2022-07-01 15:19:47+00:00,Rogerhardy_i,"RT @IneryBlockchain: 📹 Check out our newest highlight from the #Coindesk interview with our CEO @inery_naveen, talking about what exactly t…",1448209464432074755
14,2022-07-01 15:11:51+00:00,EZ_Ape,"RT @ShapeShift: In this recently published #CoinDesk article, @twells_eth dives into the life of a #bountyhunter 🦊

We appreciate all of ou…",1425833368269193222
15,2022-07-01 15:02:19+00:00,willyogo,"RT @ShapeShift: In this recently published #CoinDesk article, @twells_eth dives into the life of a #bountyhunter 🦊

We appreciate all of ou…",745295911085973504
16,2022-07-01 14:54:18+00:00,FOX_DAO,"RT @ShapeShift: In this recently published #CoinDesk article, @twells_eth dives into the life of a #bountyhunter 🦊

We appreciate all of ou…",1440369603155087362
