,time_of_tweet,user,tweet,user_id
0,2022-07-01 23:59:57+00:00,tavalez74,"RT @_Br41nf4r7_: What do you really know about #FireANTS 
$ANTS $rANTS $wANTS 
You don't want to miss out on that, do you?
Check out https:…",1438877328231354368
1,2022-07-01 23:59:52+00:00,rza13444772,"RT @WRContest: 🔥USD150 Twitter Giveaway🔥

We are giving a total prize of $150 to 3 lucky winners!

To Enter:

✅ Follow Me @RindNodes &amp; @alt…",861769458079150080
2,2022-07-01 23:59:44+00:00,0xHerrCooLes,"RT @0xHerrCooLes: 🎁 Mega Giveaway - Çekiliş 🎁

🏆Prizes
🏆1 x $50 $ETH / $USDT 
🏆5 x WL Spots

📜 Rules
1️⃣ ❤+♻️+ tag 3 active friends
2️⃣ Fol…",1454814469532569601
3,2022-07-01 23:59:43+00:00,_Crypto_Alerts,"🚨🚨🚨 Crypto alert:

• Bollinger Bands Breakout alert (15m)
• Pair [#LTC-#USDT]

#crypto #nft #cryptocurrency #defi… https://t.co/gXSJ6EFW9m",1382427530314022912
4,2022-07-01 23:59:35+00:00,bahar_manzoor,RT @Ilovenft21: RT if you think #crypto is going to replace #Fiat. My fav #cryptocurrency is #RichQUACK,771741164265476096
5,2022-07-01 23:59:34+00:00,godstime20,"RT @_Br41nf4r7_: What do you really know about #FireANTS 
$ANTS $rANTS $wANTS 
You don't want to miss out on that, do you?
Check out https:…",300307298
6,2022-07-01 23:59:31+00:00,JordanoMiko,RT @Marvin_Inu: $MARVIN welcomes @KhabyLame to the world of #Cryptocurrency! 🐶 #MarvinInu #KhabyLame #Binance https://t.co/pgyP7tWQQB,1518145991337259008
7,2022-07-01 23:59:22+00:00,cicisafitri6969,"@AirdropStario This Project is a really great project. 
Hopefully one day it will be able to take their project to… https://t.co/ZA4dhoXjmn",1541273806391881728
8,2022-07-01 23:59:20+00:00,ameer02400594,"RT @EmmyMoonie: Damn people are scared!

The 🐻 bottom will be horrid.

It will *only* happen when 99% believe #Cryptocurrency is over and #…",1412594704500264965
9,2022-07-01 23:59:18+00:00,georgekershey,"treydongui found #ethereum in a Blue vault at this location! Join me playing #coinhuntworld, It's awesome!… https://t.co/GJmb9H3kIM",877676961291751424
10,2022-07-01 23:59:18+00:00,georgekershey,"treydongui found #ethereum in a Blue vault at this location! Join me playing #coinhuntworld, It's awesome!… https://t.co/lyfAqx93XO",877676961291751424
