,time_of_tweet,user,tweet,user_id
0,2022-07-01 23:59:31+00:00,LarsonMykel,#SurveillanceCapitalism is a virus that turns society into #zombies. The #FB 's in this decrepit ecosystem have emb… https://t.co/JidLLPzFkl,1501049173390422018
1,2022-07-01 23:59:06+00:00,boylerpf,Art Deco #Vintage #Wedding Band Ring 14K #Gold https://t.co/CGEmS0TTWg #ecochic #Jewelry,49309789
2,2022-07-01 23:57:31+00:00,democrat_good,"RT @badcharts1: Did you know #silver never failed to do a new all-time high after #gold does one?

Currently the 2nd longest drought ever w…",1361088253986750466
3,2022-07-01 23:56:12+00:00,GermanyKrins,"RT @VLRTRW: @HannesZipfel #Euro #USDollar #Endgame #GreatReset 
#Debtrelease through #Gold and #Silver 

https://t.co/CDvsSmG6zX",1345130504199282695
4,2022-07-01 23:55:58+00:00,GermanyKrins,"RT @VLRTRW: @PeterBorbe #Euro #USDollar #Endgame #GreatReset 
#Debtrelease through #Gold and #Silver 

https://t.co/CDvsSmG6zX",1345130504199282695
5,2022-07-01 23:55:21+00:00,GermanyKrins,"RT @VLRTRW: @mikepompeo #Euro #USDollar #Endgame #GreatReset 
#Debtrelease through #Gold and #Silver 

https://t.co/CDvsSmG6zX",1345130504199282695
6,2022-07-01 23:54:18+00:00,badcharts1,"Many charts showcasing the next bull era in precious metals will start in 2022-23.

Many charts showcasing the next… https://t.co/jDuDgxy7KY",256595810
7,2022-07-01 23:54:09+00:00,democrat_good,"RT @mikesay98: Today's Comex #gold data.
- Gold continued withdrawals today, now totaling ~3.45 million ounces since May 6.
- Open Interest…",1361088253986750466
8,2022-07-01 23:53:45+00:00,doit31427837,"RT @GlobalProTrader: We haven't broken any resistance of note on the upside in #Gold, #Silver, $GDX, or $SILJ. So too early to get excited…",855605893693489152
9,2022-07-01 23:51:30+00:00,BhangraBot,"RT @SunriseGoldUK: TripDownMemoryLane now playing on #sunriseradiogold
#sunriseradio #gold #bollywood #bhangra #classichits #sunriseradiouk…",3064410061
10,2022-07-01 23:50:30+00:00,santosh_zi,"RT @hajiyev_rashad: #Gold (XAUUSD, $1,807) tested today a 4-year major rising trendline. Looks like gold hit a bottom and I expect a relief…",1208893994761170944
11,2022-07-01 23:49:32+00:00,WestOzAdventure,"So there I was just out in the scrub looking for gold, not a worry in the world until I got back into phone recepti… https://t.co/Jfz7t6GkfJ",1458753900442312704
12,2022-07-01 23:49:05+00:00,SunriseGoldUK,"TripDownMemoryLane now playing on #sunriseradiogold
#sunriseradio #gold #bollywood #bhangra #classichits #sunriseradiouk @sunriseradiouk",1259236192639475720
13,2022-07-01 23:48:02+00:00,find_charlotte,"RT @renaissancefai: Satin Fluted Japan Necklace Gold &amp; White Bead, Faceted Crystal, Double Strand, Vintage https://t.co/7s2VECvZaF #gold #w…",910957592649895937
